seed,n_clusters,alpha,theoretical,empirical
272,1,0.05,0.95,0.9649122807017544
272,1,0.1,0.9,0.8859649122807017
272,1,0.2,0.8,0.7631578947368421
273,1,0.01,0.99,0.9649122807017544
273,1,0.05,0.95,0.9385964912280702
273,1,0.1,0.9,0.868421052631579
273,1,0.2,0.8,0.7982456140350878
274,1,0.01,0.99,1.0
274,1,0.05,0.95,0.9824561403508771
274,1,0.1,0.9,0.9122807017543859
274,1,0.2,0.8,0.8245614035087719
275,1,0.01,0.99,0.9912280701754386
275,1,0.05,0.95,0.9473684210526315
275,1,0.1,0.9,0.8859649122807017
275,1,0.2,0.8,0.7017543859649122
276,1,0.01,0.99,0.9824561403508771
276,1,0.05,0.95,0.9385964912280702
276,1,0.1,0.9,0.9210526315789473
276,1,0.2,0.8,0.8245614035087719
277,1,0.01,0.99,1.0
277,1,0.05,0.95,0.9298245614035088
277,1,0.1,0.9,0.9035087719298246
277,1,0.2,0.8,0.7368421052631579
278,1,0.01,0.99,1.0
278,1,0.05,0.95,0.9385964912280702
278,1,0.1,0.9,0.9035087719298246
278,1,0.2,0.8,0.8245614035087719
279,1,0.01,0.99,0.9912280701754386
279,1,0.05,0.95,0.9824561403508771
279,1,0.1,0.9,0.8947368421052632
279,1,0.2,0.8,0.7192982456140351
280,1,0.01,0.99,1.0
280,1,0.05,0.95,0.9473684210526315
280,1,0.1,0.9,0.9122807017543859
280,1,0.2,0.8,0.8070175438596491
281,1,0.01,0.99,1.0
281,1,0.05,0.95,0.9385964912280702
281,1,0.1,0.9,0.8771929824561403
281,1,0.2,0.8,0.8070175438596491
282,1,0.01,0.99,1.0
282,1,0.05,0.95,0.9736842105263158
282,1,0.1,0.9,0.9298245614035088
282,1,0.2,0.8,0.7807017543859649
283,1,0.01,0.99,0.9912280701754386
283,1,0.05,0.95,0.9736842105263158
283,1,0.1,0.9,0.9649122807017544
283,1,0.2,0.8,0.9385964912280702
284,1,0.01,0.99,0.9912280701754386
284,1,0.05,0.95,0.9736842105263158
284,1,0.1,0.9,0.9298245614035088
284,1,0.2,0.8,0.8771929824561403
285,1,0.01,0.99,1.0
285,1,0.05,0.95,0.9473684210526315
285,1,0.1,0.9,0.9210526315789473
285,1,0.2,0.8,0.7719298245614035
286,1,0.01,0.99,1.0
286,1,0.05,0.95,0.9385964912280702
286,1,0.1,0.9,0.9035087719298246
286,1,0.2,0.8,0.7807017543859649
287,1,0.01,0.99,1.0
287,1,0.05,0.95,0.9298245614035088
287,1,0.1,0.9,0.8859649122807017
287,1,0.2,0.8,0.7894736842105263
288,1,0.01,0.99,1.0
288,1,0.05,0.95,0.956140350877193
288,1,0.1,0.9,0.9473684210526315
288,1,0.2,0.8,0.8771929824561403
289,1,0.01,0.99,1.0
289,1,0.05,0.95,0.9385964912280702
289,1,0.1,0.9,0.8947368421052632
289,1,0.2,0.8,0.868421052631579
290,1,0.01,0.99,0.9824561403508771
290,1,0.05,0.95,0.956140350877193
290,1,0.1,0.9,0.8947368421052632
290,1,0.2,0.8,0.8421052631578947
291,1,0.01,0.99,0.9824561403508771
291,1,0.05,0.95,0.9824561403508771
291,1,0.1,0.9,0.9210526315789473
291,1,0.2,0.8,0.8333333333333334
292,1,0.01,0.99,0.9736842105263158
292,1,0.05,0.95,0.956140350877193
292,1,0.1,0.9,0.9035087719298246
292,1,0.2,0.8,0.8157894736842105
293,1,0.01,0.99,0.9912280701754386
293,1,0.05,0.95,0.9736842105263158
293,1,0.1,0.9,0.9035087719298246
293,1,0.2,0.8,0.7192982456140351
294,1,0.01,0.99,1.0
294,1,0.05,0.95,0.9649122807017544
294,1,0.1,0.9,0.8947368421052632
294,1,0.2,0.8,0.7719298245614035
295,1,0.01,0.99,1.0
295,1,0.05,0.95,0.9824561403508771
295,1,0.1,0.9,0.9473684210526315
295,1,0.2,0.8,0.8070175438596491
296,1,0.01,0.99,1.0
296,1,0.05,0.95,0.956140350877193
296,1,0.1,0.9,0.868421052631579
296,1,0.2,0.8,0.7807017543859649
297,1,0.01,0.99,1.0
297,1,0.05,0.95,0.9473684210526315
297,1,0.1,0.9,0.8771929824561403
297,1,0.2,0.8,0.7894736842105263
298,1,0.01,0.99,0.9912280701754386
298,1,0.05,0.95,0.9736842105263158
298,1,0.1,0.9,0.9298245614035088
298,1,0.2,0.8,0.8508771929824561
299,1,0.01,0.99,0.9912280701754386
299,1,0.05,0.95,0.9473684210526315
299,1,0.1,0.9,0.9035087719298246
299,1,0.2,0.8,0.8508771929824561
200,3,0.01,0.99,1.0
200,3,0.05,0.95,0.9736842105263158
200,3,0.1,0.9,0.9298245614035088
200,3,0.2,0.8,0.9035087719298246
201,3,0.01,0.99,0.9649122807017544
201,3,0.05,0.95,0.956140350877193
201,3,0.1,0.9,0.9298245614035088
201,3,0.2,0.8,0.8245614035087719
202,3,0.01,0.99,1.0
202,3,0.05,0.95,0.9210526315789473
202,3,0.1,0.9,0.8596491228070176
202,3,0.2,0.8,0.7280701754385965
203,3,0.01,0.99,0.9824561403508771
203,3,0.05,0.95,0.9473684210526315
203,3,0.1,0.9,0.9210526315789473
203,3,0.2,0.8,0.7807017543859649
204,3,0.01,0.99,1.0
204,3,0.05,0.95,0.956140350877193
