seed,alpha,theoretical,empirical
159,0.5,0.5,0.5701754385964912
160,0.01,0.99,1.0
160,0.05,0.95,0.9736842105263158
160,0.1,0.9,0.9298245614035088
160,0.2,0.8,0.8508771929824561
160,0.5,0.5,0.5350877192982456
161,0.01,0.99,0.9912280701754386
161,0.05,0.95,0.9649122807017544
161,0.1,0.9,0.8947368421052632
161,0.2,0.8,0.7631578947368421
161,0.5,0.5,0.5263157894736842
162,0.01,0.99,1.0
162,0.05,0.95,0.9298245614035088
162,0.1,0.9,0.8596491228070176
162,0.2,0.8,0.7719298245614035
162,0.5,0.5,0.49122807017543857
163,0.01,0.99,1.0
163,0.05,0.95,0.9385964912280702
163,0.1,0.9,0.8333333333333334
163,0.2,0.8,0.7631578947368421
163,0.5,0.5,0.5
164,0.01,0.99,1.0
164,0.05,0.95,0.9473684210526315
164,0.1,0.9,0.9035087719298246
164,0.2,0.8,0.8421052631578947
164,0.5,0.5,0.5263157894736842
165,0.01,0.99,0.9736842105263158
165,0.05,0.95,0.9385964912280702
165,0.1,0.9,0.9122807017543859
165,0.2,0.8,0.7719298245614035
165,0.5,0.5,0.43859649122807015
166,0.01,0.99,0.9912280701754386
166,0.05,0.95,0.9473684210526315
166,0.1,0.9,0.8771929824561403
166,0.2,0.8,0.7719298245614035
166,0.5,0.5,0.41228070175438597
167,0.01,0.99,0.9824561403508771
167,0.05,0.95,0.9473684210526315
167,0.1,0.9,0.9122807017543859
167,0.2,0.8,0.8157894736842105
167,0.5,0.5,0.49122807017543857
168,0.01,0.99,1.0
168,0.05,0.95,0.9385964912280702
168,0.1,0.9,0.9122807017543859
168,0.2,0.8,0.8421052631578947
168,0.5,0.5,0.543859649122807
169,0.01,0.99,0.9912280701754386
169,0.05,0.95,0.9649122807017544
169,0.1,0.9,0.8859649122807017
169,0.2,0.8,0.7543859649122807
169,0.5,0.5,0.4824561403508772
170,0.01,0.99,1.0
170,0.05,0.95,0.9473684210526315
170,0.1,0.9,0.8859649122807017
170,0.2,0.8,0.7719298245614035
170,0.5,0.5,0.4473684210526316
171,0.01,0.99,0.9912280701754386
171,0.05,0.95,0.9824561403508771
171,0.1,0.9,0.9824561403508771
171,0.2,0.8,0.8859649122807017
171,0.5,0.5,0.5789473684210527
172,0.01,0.99,1.0
172,0.05,0.95,0.9649122807017544
172,0.1,0.9,0.9122807017543859
172,0.2,0.8,0.868421052631579
172,0.5,0.5,0.5964912280701754
173,0.01,0.99,1.0
173,0.05,0.95,0.9473684210526315
173,0.1,0.9,0.9298245614035088
173,0.2,0.8,0.8596491228070176
173,0.5,0.5,0.45614035087719296
174,0.01,0.99,1.0
174,0.05,0.95,0.9649122807017544
174,0.1,0.9,0.8508771929824561
174,0.2,0.8,0.7719298245614035
174,0.5,0.5,0.47368421052631576
175,0.01,0.99,1.0
175,0.05,0.95,1.0
175,0.1,0.9,0.9736842105263158
175,0.2,0.8,0.868421052631579
175,0.5,0.5,0.43859649122807015
176,0.01,0.99,0.9912280701754386
176,0.05,0.95,0.956140350877193
176,0.1,0.9,0.9298245614035088
176,0.2,0.8,0.8070175438596491
176,0.5,0.5,0.49122807017543857
177,0.01,0.99,0.9912280701754386
177,0.05,0.95,0.9736842105263158
177,0.1,0.9,0.9210526315789473
177,0.2,0.8,0.8245614035087719
177,0.5,0.5,0.40350877192982454
178,0.01,0.99,1.0
178,0.05,0.95,0.956140350877193
178,0.1,0.9,0.868421052631579
178,0.2,0.8,0.8070175438596491
178,0.5,0.5,0.41228070175438597
179,0.01,0.99,0.9736842105263158
179,0.05,0.95,0.9473684210526315
179,0.1,0.9,0.8771929824561403
179,0.2,0.8,0.7192982456140351
179,0.5,0.5,0.4649122807017544
180,0.01,0.99,1.0
180,0.05,0.95,0.9912280701754386
180,0.1,0.9,0.9473684210526315
180,0.2,0.8,0.8157894736842105
180,0.5,0.5,0.5701754385964912
181,0.01,0.99,0.956140350877193
181,0.05,0.95,0.9298245614035088
181,0.1,0.9,0.9122807017543859
181,0.2,0.8,0.8333333333333334
181,0.5,0.5,0.5175438596491229
182,0.01,0.99,1.0
