name,def_file,def_line,src_usages,test_usages,pattern,scope
_build_explainer_from_spec,calibrated_explanations\core\explain\parallel_runtime.py,251,2,0,Consistent (Internal Only),library
_start_time,calibrated_explanations\core\explain\parallel_runtime.py,47,3,0,Consistent (Internal Only),library
_GOVERNANCE_LOGGER_NAME,calibrated_explanations\core\explain\_feature_filter.py,20,3,0,Consistent (Internal Only),library
_governance_logger,calibrated_explanations\core\explain\_feature_filter.py,21,2,0,Consistent (Internal Only),library
_get_feature_filter_config_manager,calibrated_explanations\core\explain\_feature_filter.py,27,2,0,Consistent (Internal Only),library
_reset_feature_filter_config_manager_for_testing,calibrated_explanations\core\explain\_feature_filter.py,35,0,0,Pattern 3 (Completely Dead),library
_feature_filter_config_manager,calibrated_explanations\core\explain\_feature_filter.py,31,5,0,Consistent (Internal Only),library
_require_guarded_calibration_alignment,calibrated_explanations\core\explain\_guarded_explain.py,58,2,0,Consistent (Internal Only),library
_merge_adjacent_bins,calibrated_explanations\core\explain\_guarded_explain.py,133,4,0,Consistent (Internal Only),library
_guarded_bin_dedupe_key,calibrated_explanations\core\explain\_guarded_explain.py,256,2,0,Consistent (Internal Only),library
_dedupe_guarded_bins,calibrated_explanations\core\explain\_guarded_explain.py,273,2,0,Consistent (Internal Only),library
_merge_run,calibrated_explanations\core\explain\_guarded_explain.py,291,10,0,Consistent (Internal Only),library
_merge_factual_anchor,calibrated_explanations\core\explain\_guarded_explain.py,354,2,0,Consistent (Internal Only),library
_finalise_group,calibrated_explanations\core\explain\_guarded_explain.py,460,10,0,Consistent (Internal Only),library
_guard_batch,calibrated_explanations\core\explain\_guarded_explain.py,838,2,0,Consistent (Internal Only),library
_batch_p_vals,calibrated_explanations\core\explain\_guarded_explain.py,839,2,0,Consistent (Internal Only),library
_constant_sigma,calibrated_explanations\core\prediction\interval_registry.py,74,2,0,Consistent (Internal Only),library
_freeze_context_value,calibrated_explanations\core\prediction\orchestrator.py,53,8,0,Consistent (Internal Only),library
_freeze_context_mapping,calibrated_explanations\core\prediction\orchestrator.py,66,8,0,Consistent (Internal Only),library
_config_env,calibrated_explanations\core\prediction\orchestrator.py,114,2,0,Consistent (Internal Only),library
_validate_prediction_result,calibrated_explanations\core\prediction\orchestrator.py,316,2,0,Consistent (Internal Only),library
_predict_impl,calibrated_explanations\core\prediction\orchestrator.py,366,3,0,Consistent (Internal Only),library
_record_interval_calibration_features,calibrated_explanations\core\prediction\orchestrator.py,661,2,0,Consistent (Internal Only),library
_validate_interval_output_sample,calibrated_explanations\core\prediction\orchestrator.py,1037,3,0,Consistent (Internal Only),library
_config_manager,calibrated_explanations\plugins\manager.py,143,19,0,Consistent (Internal Only),library
_predict_fn,calibrated_explanations\core\prediction\orchestrator.py,252,1,0,Consistent (Internal Only),library
_AMBIGUITY_WARNING_ISSUED,calibrated_explanations\core\reject\orchestrator.py,1973,3,0,Consistent (Internal Only),library
_VALID_NCF,calibrated_explanations\explanations\reject.py,36,7,0,Consistent (Internal Only),library
_DIFFICULTY_STRATEGIES,calibrated_explanations\core\reject\orchestrator.py,38,2,0,Consistent (Internal Only),library
_DEGRADED_MODE_ORDER,calibrated_explanations\core\reject\orchestrator.py,44,2,0,Consistent (Internal Only),library
_safe_length,calibrated_explanations\core\reject\orchestrator.py,63,8,0,Consistent (Internal Only),library
_normalize_degraded_mode,calibrated_explanations\core\reject\orchestrator.py,71,6,0,Consistent (Internal Only),library
_thresholds_equal,calibrated_explanations\core\reject\orchestrator.py,135,2,0,Consistent (Internal Only),library
_interval_width_score,calibrated_explanations\core\reject\orchestrator.py,196,8,0,Consistent (Internal Only),library
_margin_score,calibrated_explanations\core\reject\orchestrator.py,209,8,0,Consistent (Internal Only),library
_default_ncf_kind,calibrated_explanations\core\reject\orchestrator.py,223,8,0,Consistent (Internal Only),library
_default_score_cal,calibrated_explanations\core\reject\orchestrator.py,239,4,0,Consistent (Internal Only),library
_default_score_test,calibrated_explanations\core\reject\orchestrator.py,266,4,0,Consistent (Internal Only),library
_normalize_stored_ncf,calibrated_explanations\core\reject\orchestrator.py,329,4,0,Consistent (Internal Only),library
_legacy_base_ncf,calibrated_explanations\core\reject\orchestrator.py,346,6,0,Consistent (Internal Only),library
_ncf_scores_cal,calibrated_explanations\core\reject\orchestrator.py,394,4,0,Consistent (Internal Only),library
_ncf_scores_test,calibrated_explanations\core\reject\orchestrator.py,417,4,0,Consistent (Internal Only),library
_clip_difficulty_values,calibrated_explanations\core\reject\orchestrator.py,441,4,0,Consistent (Internal Only),library
_difficulty_values,calibrated_explanations\core\reject\orchestrator.py,482,4,0,Consistent (Internal Only),library
_normalize_scores_by_difficulty,calibrated_explanations\core\reject\orchestrator.py,533,4,0,Consistent (Internal Only),library
_ncf_scores_cal_difficulty_normalized,calibrated_explanations\core\reject\orchestrator.py,566,4,0,Consistent (Internal Only),library
_ncf_scores_test_difficulty_normalized,calibrated_explanations\core\reject\orchestrator.py,582,4,0,Consistent (Internal Only),library
_difficulty_normalized_reject_scores_enabled,calibrated_explanations\core\reject\orchestrator.py,596,4,0,Consistent (Internal Only),library
_ambiguity_novelty_reject_scores_enabled,calibrated_explanations\core\reject\orchestrator.py,601,4,0,Consistent (Internal Only),library
_novelty_values,calibrated_explanations\core\reject\orchestrator.py,606,2,0,Consistent (Internal Only),library
_novelty_weight,calibrated_explanations\core\reject\orchestrator.py,651,2,0,Consistent (Internal Only),library
_apply_novelty_penalty,calibrated_explanations\core\reject\orchestrator.py,669,2,0,Consistent (Internal Only),library
_ncf_scores_cal_ambiguity_normalized_novelty_penalized,calibrated_explanations\core\reject\orchestrator.py,706,2,0,Consistent (Internal Only),library
_ncf_scores_test_ambiguity_normalized_novelty_penalized,calibrated_explanations\core\reject\orchestrator.py,736,2,0,Consistent (Internal Only),library
_experimental_multiclass_top1_correctness_strategy,calibrated_explanations\core\reject\orchestrator.py,946,1,0,Consistent (Internal Only),library
_experimental_ambiguity_normalized_novelty_penalized_strategy,calibrated_explanations\core\reject\orchestrator.py,1043,1,0,Consistent (Internal Only),library
_experimental_difficulty_normalized_strategy,calibrated_explanations\core\reject\orchestrator.py,1137,2,0,Consistent (Internal Only),library
_resolve_regression_effective_threshold,calibrated_explanations\core\reject\orchestrator.py,1433,1,0,Consistent (Internal Only),library
_compute_prediction_set,calibrated_explanations\core\reject\orchestrator.py,1625,1,0,Consistent (Internal Only),library
_build_contract_metadata,calibrated_explanations\core\reject\orchestrator.py,2178,3,0,Consistent (Internal Only),library
_build_decision_artifact,calibrated_explanations\core\reject\orchestrator.py,2233,2,0,Consistent (Internal Only),library
_build_payload_artifact,calibrated_explanations\core\reject\orchestrator.py,2278,2,0,Consistent (Internal Only),library
_builtin_strategy,calibrated_explanations\core\reject\orchestrator.py,2298,2,0,Consistent (Internal Only),library
_strategies_lock,calibrated_explanations\core\reject\orchestrator.py,1422,4,0,Consistent (Internal Only),library
_reject_ambiguity_novelty_normalized,calibrated_explanations\core\reject\orchestrator.py,1132,2,0,Consistent (Internal Only),library
_reject_novelty_estimator,calibrated_explanations\core\reject\orchestrator.py,1133,2,0,Consistent (Internal Only),library
_reject_novelty_weight,calibrated_explanations\core\reject\orchestrator.py,1134,2,0,Consistent (Internal Only),library
_reject_difficulty_normalized,calibrated_explanations\core\reject\orchestrator.py,1400,2,0,Consistent (Internal Only),library
_msg,calibrated_explanations\core\reject\orchestrator.py,1964,3,0,Consistent (Internal Only),library
_normalized_ncf,calibrated_explanations\core\reject\orchestrator.py,854,3,0,Consistent (Internal Only),library
_validate_prediction_invariant,calibrated_explanations\plugins\explanations.py,580,5,0,Consistent (Internal Only),library
_get_percentiles,calibrated_explanations\explanations\explanation.py,901,4,0,Consistent (Internal Only),library
_build_uncertainty_payload,calibrated_explanations\explanations\explanation.py,946,8,0,Consistent (Internal Only),library
_build_interval,calibrated_explanations\explanations\explanation.py,984,7,0,Consistent (Internal Only),library
_build_instance_uncertainty,calibrated_explanations\explanations\explanation.py,996,4,0,Consistent (Internal Only),library
_safe_feature_name,calibrated_explanations\explanations\explanation.py,1029,12,0,Consistent (Internal Only),library
_parse_condition,calibrated_explanations\explanations\explanation.py,1064,2,0,Consistent (Internal Only),library
_build_condition_payload,calibrated_explanations\explanations\explanation.py,1083,3,0,Consistent (Internal Only),library
_predict_conjunctive,calibrated_explanations\explanations\explanation.py,1256,1,0,Consistent (Internal Only),library
_rules_with_impact,calibrated_explanations\explanations\explanation.py,2608,4,0,Consistent (Internal Only),library
_factual_rule_to_dict,calibrated_explanations\explanations\explanation.py,1908,3,0,Consistent (Internal Only),library
_set_up_result,calibrated_explanations\explanations\explanation.py,2913,3,0,Consistent (Internal Only),library
_append_rule,calibrated_explanations\explanations\explanation.py,2950,4,0,Consistent (Internal Only),library
_pareto_rule_indexes,calibrated_explanations\explanations\explanation.py,3149,2,0,Consistent (Internal Only),library
_pareto_filter_rules,calibrated_explanations\explanations\explanation.py,3245,0,0,Pattern 3 (Completely Dead),library
_alternative_rule_to_dict,calibrated_explanations\explanations\explanation.py,3263,3,0,Consistent (Internal Only),library
_extracted_non_conjunctive_rules,calibrated_explanations\explanations\explanation.py,3312,2,0,Consistent (Internal Only),library
_rule_size,calibrated_explanations\explanations\explanation.py,3166,4,0,Consistent (Internal Only),library
_clone_value,calibrated_explanations\explanations\explanation.py,830,4,0,Consistent (Internal Only),library
_filter_value,calibrated_explanations\explanations\explanation.py,839,2,0,Consistent (Internal Only),library
_restore,calibrated_explanations\explanations\legacy_conjunctions.py,74,4,0,Consistent (Internal Only),library
_raise_on_predict_error,calibrated_explanations\explanations\explanation.py,3633,4,0,Consistent (Internal Only),library
_feature_length,calibrated_explanations\explanations\legacy_conjunctions.py,339,8,0,Consistent (Internal Only),library
_coerce_feature_scalar,calibrated_explanations\explanations\explanation.py,3693,4,0,Consistent (Internal Only),library
_summarize,calibrated_explanations\explanations\explanation.py,3708,4,0,Consistent (Internal Only),library
_is_super_explanation,calibrated_explanations\explanations\explanation.py,3383,4,0,Consistent (Internal Only),library
_is_semi_explanation,calibrated_explanations\explanations\explanation.py,3436,4,0,Consistent (Internal Only),library
_is_counter_explanation,calibrated_explanations\explanations\explanation.py,3489,4,0,Consistent (Internal Only),library
_format_feature,calibrated_explanations\explanations\explanation.py,2625,2,0,Consistent (Internal Only),library
_rule_cost,calibrated_explanations\explanations\explanation.py,3171,2,0,Consistent (Internal Only),library
